Channel Number,Channel Name,Channel Type,Rx Frequency,Tx Frequency,Bandwidth (kHz),Colour Code,Timeslot,Contact,TG List,DMR ID,TS1_TA_Tx,TS2_TA_Tx ID,RX Tone,TX Tone,Squelch,Power,Rx Only,Zone Skip,All Skip,TOT,VOX,No Beep,No Eco,APRS,Latitude,Longitude,Use Location
1,STMA EMS/Fire,Analogue,	154.32500,	154.32500,12.5,,,,,,,,None,None,1,Low,No,No,No,0,Off,No,No,None,0.128,0.008,No
2,Rockford-K1LEO,Digital,	443.70000,	448.70000,,1,1,None,None,None,Off,Off,,,0,Low,No,No,No,0,Off,No,No,None,0.128,0.008,No
3,Buffalo-N0FWG,Analogue,	444.37500,	449.37500,12.5,,,,,,,,69.3,74.4,1,Low,No,No,No,0,Off,No,No,None,0.128,0.008,No
4,Medina-N0AGI,Digital,	443.20000,	448.20000,,11,1,None,None,None,Off,Off,,,0,Low,No,No,No,0,Off,No,No,None,0.128,0.008,No
5,MaplePlain-K0LTC,Analogue,	147.00000,	147.60000,12.5,,,,,,,,None,None,1,Low,No,No,No,0,Off,No,No,None,0.128,0.008,No
6,GMRS 1,Analogue,	462.56250,	462.56250,12.5,,,,,,,,None,None,1,Low,No,No,No,0,Off,No,No,None,0.128,0.008,No
7,Channel7,Analogue,	407.02500,	407.02500,12.5,,,,,,,,None,None,1,Low,No,No,No,0,Off,No,No,None,0.128,0.008,No
8,Channel8,Analogue,	408.02500,	408.02500,12.5,,,,,,,,None,None,1,Low,No,No,No,0,Off,No,No,None,0.128,0.008,No
9,STMA EMS/Firea,Analogue,	154.32500,	154.32500,12.5,,,,,,,,None,None,0,Low,No,No,No,0,Off,No,No,None,0.128,0.008,No
10,Weather 5,Analogue,	162.50000,	162.50000,12.5,,,,,,,,None,None,1,Low,No,No,No,0,Off,No,No,None,0.128,0.008,No
11,Channel11,Analogue,	411.02500,	411.02500,12.5,,,,,,,,None,None,1,Low,No,No,No,0,Off,No,No,None,0.128,0.008,No
12,Channel12,Analogue,	412.02500,	412.02500,12.5,,,,,,,,None,None,1,Low,No,No,No,0,Off,No,No,None,0.128,0.008,No
13,Channel13,Analogue,	413.02500,	413.02500,12.5,,,,,,,,None,None,1,Low,No,No,No,0,Off,No,No,None,0.128,0.008,No
14,Channel14,Analogue,	414.02500,	414.02500,12.5,,,,,,,,None,None,1,Low,No,No,No,0,Off,No,No,None,0.128,0.008,No
15,Channel15,Analogue,	415.02500,	415.02500,12.5,,,,,,,,None,None,1,Low,No,No,No,0,Off,No,No,None,0.128,0.008,No
16,Channel16,Analogue,	416.02500,	416.02500,12.5,,,,,,,,None,None,1,Low,No,No,No,0,Off,No,No,None,0.128,0.008,No
